Neighborhood,Education Level,Employment Status,Age,Years of Experience,Annual Income,Gender,Household Size
Maplewood,Bachelors,Unemployed,77,0,22886,Male,2
Kingsley,Postgraduate,Full-time,20,0,99835,Male,3
Maplewood,Bachelors,Full-time,18,0,65794,Male,5
Huntington,None,Unemployed,69,0,7786,Female,1
Ashford,Bachelors,Part-time,78,6,41014,Female,5
Ashford,None,Part-time,71,13,14392,Female,6
Maplewood,Bachelors,Full-time,36,1,70353,Male,3
Kingsley,Bachelors,Full-time,63,42,68407,Male,1
Kingsley,None,Unemployed,66,0,1974,Female,4
Huntington,Technical,Part-time,39,7,28239,Male,1
Maplewood,Technical,Part-time,31,12,23237,Female,1
Ashford,Postgraduate,Full-time,66,20,102248,Other,7
Kingsley,Postgraduate,Full-time,74,46,99369,Male,1
Maplewood,None,Unemployed,76,0,9050,Male,3
Kingsley,Postgraduate,Full-time,31,11,95464,Male,7
Kingsley,Bachelors,Part-time,61,34,42327,Other,7
Ashford,Technical,Full-time,33,6,40415,Female,6
Rosedale,None,Part-time,50,14,15115,Female,6
Huntington,Bachelors,Unemployed,30,0,16287,Male,7
Huntington,Bachelors,Part-time,55,1,40195,Other,7
Ashford,Bachelors,Full-time,66,11,74067,Male,2
Kingsley,None,Part-time,29,8,8992,Male,6
Maplewood,None,Retired,72,0,12450,Female,3
Kingsley,Bachelors,Full-time,68,35,67925,Female,2
Ashford,Technical,Unemployed,55,0,8120,Male,4
Huntington,Technical,Part-time,56,2,24310,Male,4
Kingsley,Technical,Unemployed,50,0,7446,Male,4
Huntington,Postgraduate,Part-time,50,4,61627,Male,4
Maplewood,Postgraduate,Full-time,46,2,97896,Male,4
Huntington,Bachelors,Full-time,22,0,65721,Other,5
Huntington,Postgraduate,Full-time,23,2,97163,Female,7
Rosedale,Technical,Unemployed,48,0,16543,Female,3
Rosedale,Bachelors,Retired,33,0,33980,Female,2
Rosedale,Technical,Part-time,48,1,23502,Female,4
Huntington,Bachelors,Full-time,42,11,66725,Female,5
Ashford,Postgraduate,Full-time,65,36,103885,Female,6
Huntington,Bachelors,Retired,63,0,33413,Male,5
Ashford,Technical,Full-time,50,16,35494,Female,5
Ashford,Bachelors,Full-time,30,11,65947,Female,3
Rosedale,Technical,Part-time,69,26,19022,Female,4
Kingsley,Postgraduate,Full-time,27,5,96128,Other,5
Maplewood,Bachelors,Full-time,41,9,65557,Male,7
Rosedale,Bachelors,Full-time,27,2,74808,Female,5
Rosedale,Bachelors,Full-time,58,35,68730,Male,4
Kingsley,Bachelors,Unemployed,48,0,21341,Female,3
Maplewood,None,Full-time,30,5,21998,Male,5
Huntington,Bachelors,Full-time,20,2,72182,Male,2
Huntington,Technical,Full-time,76,24,42034,Male,1
Rosedale,Bachelors,Retired,67,0,31656,Female,6
Maplewood,Postgraduate,Full-time,69,21,99173,Male,1
Rosedale,Postgraduate,Part-time,51,29,60441,Female,1
Ashford,Bachelors,Full-time,66,20,73998,Male,3
Rosedale,Bachelors,Full-time,45,27,68312,Female,5
Rosedale,Technical,Full-time,36,10,43645,Female,1
Huntington,Bachelors,Retired,40,0,32324,Male,1
Huntington,Technical,Unemployed,62,0,16639,Male,6
Huntington,Bachelors,Full-time,49,21,70595,Female,4
Ashford,Technical,Part-time,30,4,24984,Female,7
Huntington,Technical,Unemployed,50,0,9511,Female,7
Maplewood,Bachelors,Full-time,51,0,65362,Male,5
Kingsley,None,Retired,50,0,8454,Female,5
Maplewood,Bachelors,Full-time,73,36,67798,Other,6
Maplewood,Technical,Unemployed,22,0,11620,Male,4
Huntington,None,Retired,73,0,8255,Male,5
Kingsley,Bachelors,Unemployed,20,0,17217,Male,7
Kingsley,None,Part-time,78,12,8485,Female,7
Kingsley,Technical,Full-time,77,20,40349,Female,2
Ashford,Bachelors,Unemployed,24,0,23195,Male,6
Huntington,None,Full-time,41,13,22750,Male,3
Kingsley,Postgraduate,Full-time,80,8,101079,Male,4
Ashford,None,Retired,39,0,14399,Male,6
Rosedale,Technical,Retired,62,0,24640,Male,1
Rosedale,Bachelors,Unemployed,78,0,24035,Other,5
Ashford,Technical,Full-time,40,16,36507,Male,2
Ashford,Technical,Retired,47,0,16003,Male,7
Huntington,Technical,Retired,77,0,21403,Female,2
Huntington,Technical,Full-time,35,14,35925,Female,3
Rosedale,Postgraduate,Full-time,49,20,103275,Female,6
Kingsley,Technical,Full-time,73,30,41583,Male,2
Rosedale,Bachelors,Full-time,70,38,68927,Male,6
Kingsley,Postgraduate,Unemployed,24,0,34734,Female,5
Kingsley,Bachelors,Part-time,50,21,37985,Female,5
Huntington,Postgraduate,Retired,22,0,49231,Male,7
Maplewood,Technical,Unemployed,66,0,12302,Female,2
Maplewood,Postgraduate,Full-time,45,11,100291,Female,5
Ashford,None,Retired,78,0,5908,Male,6
Huntington,Bachelors,Full-time,25,7,70051,Female,7
Kingsley,Bachelors,Unemployed,32,0,18586,Female,5
Maplewood,Technical,Full-time,69,5,44335,Male,7
Kingsley,Bachelors,Unemployed,21,0,17331,Female,1
Maplewood,Bachelors,Full-time,51,15,71851,Female,6
Maplewood,None,Full-time,22,1,24745,Female,7
Maplewood,Technical,Retired,50,0,16806,Male,4
Huntington,Bachelors,Full-time,74,4,65805,Male,5
Rosedale,Bachelors,Part-time,22,0,41147,Female,5
Kingsley,Postgraduate,Full-time,55,13,95071,Male,6
Huntington,Bachelors,Retired,51,0,30027,Male,3
Huntington,Postgraduate,Full-time,75,43,103660,Male,4
Huntington,Bachelors,Full-time,43,9,68983,Male,7
Huntington,Technical,Full-time,18,0,43955,Other,4
Huntington,Technical,Full-time,21,1,42055,Male,7
Ashford,Bachelors,Full-time,56,25,71690,Other,4
Kingsley,Bachelors,Full-time,71,52,74616,Male,2
Huntington,None,Full-time,43,12,18832,Female,1
Kingsley,Technical,Full-time,50,28,44867,Male,1
Ashford,Postgraduate,Part-time,50,18,55559,Female,3
Ashford,Bachelors,Unemployed,25,0,23957,Female,4
Kingsley,Bachelors,Full-time,37,14,68831,Male,4
Maplewood,Bachelors,Part-time,33,7,44344,Female,5
Rosedale,Technical,Part-time,38,20,24171,Male,7
Maplewood,Technical,Full-time,62,41,35078,Female,6
Maplewood,Technical,Retired,72,0,19929,Other,2
Maplewood,None,Full-time,73,34,18647,Female,2
Huntington,Bachelors,Part-time,80,30,38031,Female,3
Ashford,Bachelors,Full-time,43,20,72381,Male,1
Maplewood,Postgraduate,Part-time,40,2,57072,Male,4
Ashford,Postgraduate,Part-time,35,4,61911,Male,6
Kingsley,Technical,Full-time,79,15,41088,Female,3
Rosedale,Bachelors,Full-time,48,16,66484,Female,7
Kingsley,Bachelors,Unemployed,69,0,21838,Male,2
Kingsley,Postgraduate,Full-time,59,31,96550,Female,2
Huntington,Technical,Part-time,29,5,24497,Male,2
Rosedale,Bachelors,Unemployed,18,0,20682,Male,4
Kingsley,Bachelors,Retired,59,0,31829,Female,4
Kingsley,Technical,Part-time,26,3,22751,Male,4
Rosedale,Technical,Retired,20,0,21081,Female,5
Rosedale,Bachelors,Unemployed,77,0,22601,Male,1
Kingsley,Bachelors,Full-time,68,19,69459,Female,7
Rosedale,Technical,Full-time,43,15,38856,Male,2
Kingsley,Bachelors,Full-time,26,7,71182,Male,2
Kingsley,Technical,Unemployed,59,0,13083,Female,5
Huntington,Bachelors,Part-time,68,1,44970,Female,2
Maplewood,Technical,Full-time,33,3,37094,Male,7
Kingsley,Postgraduate,Unemployed,41,0,31238,Male,2
Ashford,Technical,Full-time,67,46,38032,Female,4
Maplewood,Technical,Full-time,31,1,36548,Male,4
Maplewood,None,Part-time,78,0,15559,Female,1
Maplewood,Technical,Full-time,20,1,35064,Female,7
Huntington,Bachelors,Unemployed,51,0,19299,Male,7
Kingsley,Technical,Full-time,50,28,39849,Male,2
Huntington,Postgraduate,Retired,67,0,50639,Female,3
Kingsley,None,Part-time,41,18,9035,Male,2
Huntington,Technical,Full-time,26,7,40674,Female,2
Huntington,Technical,Unemployed,30,0,9228,Male,1
Ashford,None,Part-time,19,1,12620,Female,3
Huntington,Technical,Full-time,24,3,35596,Male,2
Rosedale,Bachelors,Full-time,65,38,68606,Female,6
Ashford,Bachelors,Unemployed,80,0,19889,Male,6
Huntington,Bachelors,Full-time,38,17,68506,Male,7
Maplewood,Bachelors,Full-time,36,13,66395,Female,7
Rosedale,Bachelors,Full-time,42,7,74778,Male,3
Rosedale,None,Full-time,64,23,22529,Male,6
Rosedale,Bachelors,Retired,39,0,38303,Male,4
Ashford,Postgraduate,Full-time,28,3,95452,Male,4
Huntington,Bachelors,Full-time,50,13,72336,Female,3
Huntington,Bachelors,Full-time,49,4,67631,Female,2
Maplewood,Technical,Full-time,38,8,37186,Male,7
Maplewood,Bachelors,Unemployed,56,0,21967,Female,3
Rosedale,Bachelors,Full-time,37,7,71374,Female,6
Maplewood,Bachelors,Unemployed,25,0,21358,Female,3
Ashford,Postgraduate,Full-time,59,33,99348,Male,6
Huntington,Technical,Full-time,54,15,36459,Female,7
Rosedale,None,Unemployed,26,0,2942,Female,4
Maplewood,Bachelors,Full-time,42,12,70422,Female,3
Ashford,Postgraduate,Retired,42,0,50196,Male,7
Ashford,Technical,Unemployed,50,0,7061,Male,7
Maplewood,Technical,Full-time,19,0,36494,Female,5
Huntington,None,Full-time,36,15,16180,Male,6
Maplewood,Technical,Retired,63,0,21268,Female,5
Rosedale,Bachelors,Full-time,37,6,67788,Male,4
Maplewood,Bachelors,Full-time,59,26,69636,Female,7
Ashford,Technical,Full-time,58,13,39721,Female,7
Maplewood,Technical,Full-time,59,13,40710,Female,2
Huntington,None,Retired,46,0,12702,Female,6
Kingsley,Technical,Full-time,23,3,35105,Female,2
Maplewood,Bachelors,Full-time,34,0,74346,Male,4
Huntington,Postgraduate,Part-time,77,32,59087,Female,2
Huntington,Postgraduate,Full-time,42,11,104900,Male,7
Ashford,None,Full-time,55,19,18925,Female,6
Huntington,Postgraduate,Retired,21,0,46908,Male,1
Huntington,Bachelors,Full-time,47,20,67049,Female,6
Huntington,Bachelors,Retired,37,0,39466,Female,6
Huntington,Bachelors,Unemployed,20,0,25137,Male,5
Rosedale,Technical,Full-time,40,14,43172,Male,1
Rosedale,Technical,Part-time,68,35,22904,Other,1
Ashford,None,Full-time,35,6,18796,Male,1
Maplewood,Technical,Full-time,43,15,35292,Male,6
Huntington,Technical,Unemployed,73,0,13266,Male,4
Maplewood,Bachelors,Unemployed,53,0,22370,Other,1
Maplewood,Bachelors,Full-time,25,2,69860,Other,3
Ashford,Bachelors,Part-time,34,6,40729,Female,2
Huntington,None,Unemployed,48,0,8962,Female,4
Huntington,Postgraduate,Unemployed,54,0,30510,Male,3
Kingsley,Postgraduate,Part-time,62,28,63619,Other,6
Maplewood,Bachelors,Full-time,74,23,71761,Male,6
Maplewood,Postgraduate,Full-time,50,21,101110,Male,3
Rosedale,Bachelors,Unemployed,44,0,22955,Male,5
Kingsley,Postgraduate,Full-time,62,5,95106,Female,5
Rosedale,None,Part-time,21,3,11754,Female,3
Rosedale,Technical,Full-time,39,7,40278,Male,5
Rosedale,Technical,Full-time,43,22,41408,Other,2
Ashford,Technical,Full-time,49,21,42635,Male,2
Ashford,Technical,Unemployed,41,0,8225,Male,6
Rosedale,Bachelors,Full-time,63,37,69250,Male,5
Kingsley,Bachelors,Part-time,52,9,37895,Female,1
Maplewood,Bachelors,Full-time,54,15,66620,Female,3
Kingsley,Technical,Full-time,49,10,40088,Male,2
Huntington,Postgraduate,Full-time,24,4,100419,Female,7
Ashford,Bachelors,Part-time,50,5,38385,Male,5
Maplewood,Technical,Full-time,48,23,37433,Female,7
Maplewood,Bachelors,Full-time,72,32,66301,Other,5
Huntington,Technical,Full-time,78,52,41858,Male,2
Huntington,Technical,Full-time,29,2,43950,Female,2
Rosedale,Postgraduate,Unemployed,28,0,33938,Female,1
Ashford,Technical,Unemployed,41,0,15784,Male,5
Ashford,Bachelors,Full-time,25,3,70644,Female,5
Kingsley,Postgraduate,Part-time,49,23,60088,Female,4
Rosedale,Bachelors,Unemployed,74,0,25260,Male,6
Rosedale,None,Full-time,55,26,20440,Male,1
Rosedale,Technical,Retired,77,0,22493,Male,2
Rosedale,None,Unemployed,39,0,7291,Female,7
Ashford,Bachelors,Full-time,51,17,68307,Female,2
Ashford,Bachelors,Full-time,36,12,73894,Female,3
Rosedale,Technical,Unemployed,69,0,11708,Male,6
Kingsley,Postgraduate,Part-time,37,6,55104,Male,2
Maplewood,Bachelors,Full-time,73,54,74689,Male,5
Maplewood,Technical,Full-time,31,12,38833,Female,2
Kingsley,Bachelors,Full-time,50,29,65395,Other,5
Rosedale,Bachelors,Part-time,27,4,40517,Female,5
Ashford,None,Retired,33,0,8291,Male,1
Maplewood,Technical,Unemployed,79,0,9010,Female,2
Huntington,Postgraduate,Full-time,21,0,99537,Female,1
Huntington,Bachelors,Part-time,44,8,46860,Male,7
Kingsley,Bachelors,Part-time,45,19,41968,Female,7
Rosedale,Bachelors,Full-time,78,12,69762,Male,6
Maplewood,None,Full-time,60,33,16051,Male,5
Rosedale,Technical,Unemployed,33,0,9841,Male,7
Maplewood,Bachelors,Unemployed,76,0,22618,Male,6
Kingsley,Technical,Full-time,69,35,39723,Male,2
Kingsley,None,Part-time,50,29,14472,Male,6
Huntington,Postgraduate,Full-time,65,24,102913,Male,6
Rosedale,Postgraduate,Part-time,36,1,60524,Female,2
Huntington,Bachelors,Part-time,38,3,40584,Other,1
Rosedale,Postgraduate,Part-time,39,17,63539,Female,1
Huntington,Technical,Unemployed,26,0,8263,Male,5
Ashford,Postgraduate,Part-time,26,4,59665,Male,5
Ashford,Technical,Full-time,26,2,43014,Male,2
Ashford,Postgraduate,Retired,44,0,46351,Male,2
Ashford,Postgraduate,Full-time,34,9,101980,Female,4
Maplewood,Bachelors,Full-time,61,17,72190,Female,4
Ashford,Postgraduate,Full-time,74,56,98827,Female,3
Kingsley,Bachelors,Full-time,62,31,73861,Female,7
Kingsley,Technical,Retired,25,0,17646,Male,5
Maplewood,Bachelors,Full-time,33,4,65266,Male,6
Ashford,Bachelors,Retired,35,0,39630,Female,7
Ashford,None,Part-time,78,9,14434,Male,3
Ashford,Bachelors,Full-time,76,36,66022,Male,7
Huntington,Postgraduate,Retired,50,0,52947,Male,3
Rosedale,Technical,Full-time,18,0,37037,Male,1
Huntington,Bachelors,Full-time,29,0,73756,Male,6
Rosedale,Postgraduate,Part-time,23,5,62778,Female,1
Ashford,Postgraduate,Full-time,58,12,96059,Female,4
Ashford,Postgraduate,Full-time,72,54,96424,Male,3
Huntington,Bachelors,Part-time,22,0,41123,Male,7
Huntington,Postgraduate,Part-time,76,8,55219,Female,4
Rosedale,Bachelors,Full-time,33,7,65405,Male,6
Kingsley,Technical,Unemployed,35,0,16829,Male,6
Rosedale,Bachelors,Part-time,66,43,39318,Male,5
Huntington,Bachelors,Unemployed,35,0,25951,Male,2
Huntington,Technical,Full-time,18,0,44866,Female,1
Maplewood,Bachelors,Part-time,36,13,45983,Female,5
Huntington,Bachelors,Unemployed,71,0,21058,Male,7
Maplewood,Technical,Part-time,78,45,20309,Male,5
Kingsley,Bachelors,Retired,25,0,37621,Male,7
Rosedale,Bachelors,Full-time,20,2,69929,Male,1
Rosedale,Bachelors,Full-time,75,36,74522,Other,1
Maplewood,None,Full-time,42,18,23702,Female,6
Rosedale,None,Full-time,75,27,23683,Female,6
Huntington,Technical,Unemployed,22,0,8617,Female,3
Ashford,Postgraduate,Full-time,72,45,96520,Female,4
Maplewood,Technical,Unemployed,57,0,14892,Female,6
Rosedale,Bachelors,Unemployed,36,0,17583,Male,5
Maplewood,Technical,Full-time,35,8,41704,Male,3
Maplewood,Technical,Full-time,67,29,42988,Female,7
Ashford,Postgraduate,Unemployed,70,0,31583,Male,3
Huntington,Bachelors,Unemployed,48,0,17575,Other,5
Maplewood,None,Full-time,50,6,21935,Female,6
Rosedale,Bachelors,Full-time,64,25,74953,Female,7
Kingsley,None,Part-time,35,7,13176,Male,5
Maplewood,Bachelors,Part-time,78,45,46238,Female,2
Maplewood,Bachelors,Full-time,74,53,67613,Male,6
Ashford,Technical,Retired,56,0,18892,Other,4
Huntington,Technical,Full-time,33,11,43653,Male,7
Kingsley,Technical,Full-time,80,45,41733,Female,5
Rosedale,Postgraduate,Full-time,33,10,99431,Female,6
Kingsley,Postgraduate,Full-time,64,13,103112,Male,1
Rosedale,None,Full-time,55,20,16381,Male,2
Huntington,Bachelors,Full-time,58,7,74337,Other,7
Rosedale,Technical,Full-time,24,2,38515,Male,7
Ashford,Technical,Full-time,31,11,39454,Female,4
Ashford,Bachelors,Full-time,60,28,72769,Male,6
Ashford,Postgraduate,Unemployed,70,0,31489,Female,1
Ashford,Postgraduate,Full-time,80,22,103384,Female,6
Kingsley,Bachelors,Full-time,65,17,68534,Male,1
Huntington,Technical,Part-time,42,2,19755,Male,4
Rosedale,Bachelors,Unemployed,49,0,25876,Female,2
Rosedale,Technical,Full-time,55,12,37525,Male,7
Ashford,Bachelors,Part-time,39,11,37827,Male,1
Ashford,Technical,Retired,76,0,24081,Female,3
Maplewood,Bachelors,Part-time,33,14,41748,Male,4
Huntington,Technical,Full-time,69,49,37333,Male,4
Kingsley,Technical,Part-time,46,4,23946,Female,5
Rosedale,Postgraduate,Full-time,33,6,103302,Male,2
Maplewood,Technical,Part-time,29,10,27046,Male,3
Maplewood,Bachelors,Retired,34,0,38984,Male,3
Rosedale,Technical,Full-time,54,10,42181,Female,5
Kingsley,None,Retired,44,0,8414,Female,1
Maplewood,None,Full-time,42,14,24501,Female,1
Maplewood,Technical,Retired,30,0,21457,Male,3
Huntington,Postgraduate,Full-time,25,1,101749,Male,2
Kingsley,Technical,Full-time,73,46,35296,Male,1
Maplewood,Postgraduate,Full-time,22,4,104821,Male,4
Kingsley,Bachelors,Unemployed,29,0,16568,Female,6
Rosedale,Bachelors,Full-time,58,13,70283,Male,5
Ashford,Bachelors,Full-time,20,0,72664,Male,2
Maplewood,Bachelors,Full-time,52,24,72511,Male,1
Huntington,Bachelors,Part-time,50,32,42465,Female,6
Rosedale,Technical,Part-time,74,32,27263,Female,3
Kingsley,Technical,Full-time,39,14,39382,Female,5
Rosedale,Postgraduate,Full-time,67,15,95065,Female,1
Maplewood,Postgraduate,Full-time,73,43,95879,Female,3
Kingsley,Postgraduate,Full-time,61,37,103259,Male,1
Ashford,Bachelors,Full-time,26,5,74408,Male,5
Rosedale,Bachelors,Retired,58,0,37222,Female,4
Maplewood,Bachelors,Full-time,35,11,70069,Female,7
Huntington,Bachelors,Full-time,67,24,68239,Female,4
Kingsley,Technical,Full-time,46,14,35507,Female,7
Rosedale,Bachelors,Unemployed,56,0,23704,Female,6
Rosedale,Technical,Unemployed,44,0,8125,Female,3
Ashford,Technical,Retired,53,0,15885,Female,7
Ashford,Postgraduate,Full-time,62,3,97841,Female,4
Huntington,Technical,Full-time,34,3,42975,Male,5
Huntington,None,Full-time,73,29,21565,Female,3
Maplewood,None,Full-time,51,33,21083,Female,1
Maplewood,Postgraduate,Part-time,63,26,59870,Male,7
Huntington,Bachelors,Retired,20,0,32525,Female,7
Huntington,Bachelors,Unemployed,22,0,25117,Female,2
Kingsley,Postgraduate,Retired,31,0,49215,Male,7
Ashford,Postgraduate,Full-time,20,2,96938,Female,7
Maplewood,Technical,Part-time,40,11,22232,Male,1
Ashford,Bachelors,Full-time,56,38,68744,Other,5
Ashford,Bachelors,Full-time,47,19,71221,Female,6
Huntington,Bachelors,Retired,67,0,33465,Male,3
Kingsley,Technical,Full-time,62,8,35440,Male,1
Rosedale,Postgraduate,Full-time,78,40,95461,Female,3
Kingsley,Bachelors,Full-time,40,7,73803,Male,4
Kingsley,Technical,Part-time,44,13,24413,Male,2
Ashford,Bachelors,Retired,71,0,35755,Female,5
Kingsley,None,Full-time,27,0,20012,Male,1
Maplewood,Technical,Retired,42,0,18163,Male,2
Ashford,Bachelors,Full-time,30,6,71752,Female,7
Maplewood,None,Full-time,33,4,15005,Female,5
Rosedale,Bachelors,Retired,58,0,34776,Female,5
Ashford,Bachelors,Part-time,51,11,44038,Female,6
Rosedale,None,Unemployed,72,0,7414,Male,4
Ashford,Postgraduate,Full-time,54,1,100739,Male,6
Huntington,Technical,Part-time,78,12,22970,Male,6
Kingsley,Technical,Part-time,39,3,21606,Female,3
Huntington,Technical,Unemployed,34,0,7098,Female,3
Rosedale,Technical,Full-time,40,19,35525,Female,7
Kingsley,None,Retired,71,0,11337,Female,2
Ashford,Bachelors,Part-time,53,13,38180,Female,4
Kingsley,Postgraduate,Full-time,66,29,103067,Male,5
Maplewood,Technical,Full-time,26,7,44881,Male,7
Kingsley,Bachelors,Full-time,69,11,74330,Male,4
Maplewood,Bachelors,Part-time,19,0,41491,Male,4
Kingsley,Postgraduate,Unemployed,49,0,30922,Female,2
Maplewood,Bachelors,Part-time,73,37,40071,Male,3
Rosedale,Technical,Part-time,67,25,24641,Female,4
Huntington,Technical,Part-time,70,49,26381,Female,4
Ashford,Bachelors,Full-time,76,1,67792,Male,4
Kingsley,Postgraduate,Full-time,39,7,99778,Male,1
Huntington,Technical,Full-time,60,13,35014,Male,4
Ashford,Technical,Full-time,30,5,37415,Male,4
Ashford,Postgraduate,Full-time,25,1,97685,Female,5
Maplewood,Postgraduate,Part-time,76,39,64428,Male,6
Rosedale,Postgraduate,Full-time,18,0,103159,Female,1
Rosedale,Bachelors,Full-time,34,16,72926,Female,4
Huntington,Technical,Full-time,29,8,39100,Female,6
Rosedale,Bachelors,Full-time,21,0,71374,Female,4
Kingsley,Bachelors,Unemployed,70,0,22004,Male,2
Rosedale,None,Unemployed,30,0,6521,Male,2
Huntington,Bachelors,Retired,48,0,39799,Male,6
Rosedale,Bachelors,Full-time,78,31,72155,Male,1
Kingsley,Technical,Retired,58,0,18297,Female,5
Maplewood,Bachelors,Retired,76,0,32633,Female,1
Huntington,Bachelors,Retired,79,0,33890,Male,1
Maplewood,Postgraduate,Full-time,24,3,95791,Male,2
Maplewood,None,Part-time,40,16,16191,Male,2
Maplewood,Technical,Retired,41,0,15151,Female,5
Ashford,Bachelors,Part-time,80,12,40063,Female,7
Ashford,Technical,Part-time,22,2,25367,Female,7
Maplewood,Bachelors,Full-time,22,3,72904,Female,7
Huntington,Bachelors,Part-time,34,15,39091,Male,4
Kingsley,Technical,Full-time,47,24,39599,Male,5
Kingsley,Bachelors,Part-time,26,4,44408,Male,4
Rosedale,Bachelors,Full-time,23,0,67977,Male,6
Huntington,Technical,Full-time,42,15,35842,Female,6
Ashford,Postgraduate,Full-time,36,5,98793,Female,3
Maplewood,Postgraduate,Part-time,33,10,56659,Female,7
Rosedale,Bachelors,Full-time,38,16,73789,Female,2
Kingsley,Bachelors,Part-time,19,1,42162,Male,3
Ashford,Bachelors,Retired,27,0,36446,Male,3
Ashford,Postgraduate,Full-time,33,6,99270,Female,2
Maplewood,Bachelors,Full-time,54,13,68603,Female,3
Kingsley,Bachelors,Full-time,32,5,71764,Male,7
Huntington,Postgraduate,Unemployed,30,0,26216,Female,1
Ashford,Technical,Part-time,30,8,21291,Female,4
Maplewood,Postgraduate,Full-time,49,22,98811,Male,7
Huntington,Technical,Full-time,62,42,39993,Female,5
Kingsley,Technical,Part-time,64,11,24142,Male,2
Ashford,Technical,Unemployed,63,0,13862,Female,1
Huntington,Postgraduate,Retired,25,0,54123,Female,6
Huntington,Postgraduate,Part-time,60,12,61533,Other,5
Huntington,Bachelors,Full-time,35,3,72526,Male,5
Ashford,Bachelors,Full-time,73,38,67978,Male,5
Ashford,Bachelors,Full-time,53,33,70347,Male,3
Rosedale,Postgraduate,Full-time,43,5,102933,Male,3
Kingsley,Bachelors,Full-time,27,5,69595,Female,3
Maplewood,Technical,Full-time,48,17,41211,Female,7
Huntington,Technical,Full-time,50,7,44955,Male,3
Rosedale,Bachelors,Unemployed,46,0,18170,Male,1
Maplewood,Bachelors,Part-time,22,4,45527,Male,3
Rosedale,Technical,Retired,30,0,24368,Male,2
Ashford,None,Retired,18,0,8021,Male,5
Huntington,Postgraduate,Full-time,40,7,103970,Male,1
Maplewood,None,Retired,57,0,12836,Female,6
Maplewood,Bachelors,Full-time,20,0,66185,Male,3
Maplewood,Postgraduate,Part-time,20,1,58285,Female,6
Maplewood,Bachelors,Full-time,24,3,68447,Female,5
Maplewood,Technical,Unemployed,53,0,10991,Male,1
Rosedale,Bachelors,Full-time,52,14,74130,Female,5
Huntington,Postgraduate,Full-time,32,3,99899,Female,6
Ashford,Bachelors,Unemployed,57,0,17935,Female,7
Ashford,Postgraduate,Full-time,20,0,103825,Male,1
Ashford,None,Part-time,46,2,16445,Male,4
Ashford,Bachelors,Retired,47,0,39274,Female,7
Rosedale,Bachelors,Retired,56,0,31285,Female,1
Kingsley,Postgraduate,Unemployed,35,0,33545,Male,3
Huntington,Technical,Unemployed,28,0,14479,Male,6
Maplewood,Postgraduate,Full-time,60,21,100255,Male,5
Kingsley,Bachelors,Retired,66,0,31885,Male,5
Ashford,Technical,Part-time,77,22,24062,Female,5
Kingsley,Technical,Part-time,55,21,26066,Male,2
Huntington,Postgraduate,Full-time,57,4,98022,Male,2
Maplewood,Technical,Part-time,18,0,24265,Female,3
Maplewood,Technical,Unemployed,46,0,8547,Male,4
Huntington,Technical,Unemployed,27,0,11204,Female,2
Huntington,Postgraduate,Full-time,45,12,102590,Female,1
Ashford,Bachelors,Full-time,74,27,66368,Male,7
Maplewood,Bachelors,Full-time,48,25,66757,Female,6
Kingsley,Technical,Retired,36,0,24709,Female,3
Rosedale,Bachelors,Retired,20,0,34917,Male,7
Rosedale,Bachelors,Full-time,53,19,68484,Male,4
Huntington,Postgraduate,Full-time,60,32,98052,Female,7
Ashford,Postgraduate,Full-time,32,13,103382,Female,1
Rosedale,None,Full-time,50,28,15932,Female,5
Maplewood,Bachelors,Unemployed,58,0,20237,Male,2
Huntington,None,Part-time,60,22,14240,Female,1
Kingsley,Bachelors,Full-time,68,23,68238,Male,4
Huntington,Technical,Part-time,62,33,19565,Female,3
Kingsley,Technical,Full-time,43,6,40378,Female,7
Huntington,Technical,Unemployed,33,0,12558,Female,1
Huntington,Bachelors,Full-time,53,3,74326,Female,3
Huntington,Technical,Full-time,50,21,35743,Female,5
Kingsley,Bachelors,Full-time,37,4,73864,Female,4
Kingsley,Bachelors,Part-time,30,1,45722,Male,4
Huntington,None,Part-time,50,22,12409,Female,7
Rosedale,Bachelors,Retired,22,0,38753,Female,2
Ashford,Technical,Full-time,54,14,40629,Male,6
Ashford,Bachelors,Full-time,31,10,71318,Female,4
Ashford,Bachelors,Full-time,44,8,65301,Male,1
Kingsley,Technical,Part-time,40,10,22767,Female,1
Kingsley,None,Full-time,31,9,19280,Female,1
Rosedale,Technical,Part-time,57,24,26506,Male,5
Ashford,Postgraduate,Unemployed,21,0,33701,Female,4
Ashford,Bachelors,Unemployed,56,0,22962,Male,4
Huntington,Bachelors,Full-time,69,24,70429,Female,1
Kingsley,Bachelors,Full-time,36,16,72248,Male,7
Ashford,Technical,Full-time,64,20,38445,Male,2
Rosedale,Bachelors,Part-time,71,8,39203,Male,7
Rosedale,Bachelors,Retired,21,0,32834,Male,2
Ashford,Technical,Full-time,47,22,43986,Female,4
Kingsley,Technical,Full-time,36,15,37479,Female,7
Rosedale,Technical,Retired,48,0,24715,Male,4
Huntington,Bachelors,Unemployed,48,0,20856,Male,3
Rosedale,Postgraduate,Full-time,26,5,95434,Male,4
Maplewood,None,Part-time,70,21,8706,Female,7
Maplewood,Bachelors,Full-time,30,10,73260,Female,1
Kingsley,Technical,Full-time,31,6,40725,Male,6
Ashford,Postgraduate,Unemployed,72,0,26904,Female,5
Kingsley,Technical,Retired,77,0,22018,Male,4
