House Number,Neighborhood,Household Income,House Size (sqf),House Market Value,Family Size,Identified Race,Swimming Pool,Ownership
957,Ashford,107658,3763,1119198,4,White,Yes,Rent
958,Maplewood,195912,3195,387901,7,White,No,Own
959,Maplewood,61007,4945,1135210,2,White,No,Rent
960,Kingsley,218019,2592,770659,6,White,No,Rent
961,Maplewood,136833,3864,355456,5,Hispanic,No,Own
962,Kingsley,148637,2163,481003,7,Hispanic,No,Rent
963,Maplewood,150721,3148,870376,2,Hispanic,No,Own
964,Rosedale,123220,4351,672618,6,Other,No,Own
965,Rosedale,56393,4428,1283494,6,White,No,Own
966,Rosedale,87480,4136,1329024,1,Asian,No,Own
967,Kingsley,147243,2365,1189408,6,Asian,No,Own
968,Rosedale,118290,4467,251170,3,White,Yes,Own
969,Ashford,247407,3013,729275,6,Black,Yes,Own
970,Ashford,134263,4896,805322,6,Other,Yes,Own
971,Kingsley,170179,1819,1499392,5,Asian,No,Rent
972,Huntington,35993,2084,922317,3,Hispanic,No,Rent
973,Kingsley,123650,862,121157,2,Black,No,Own
974,Maplewood,147595,3330,541588,3,Hispanic,No,Own
975,Maplewood,82066,4192,119674,3,Black,Yes,Own
976,Rosedale,141850,4072,656645,2,Black,No,Own
977,Ashford,72942,3069,374722,5,Other,No,Rent
978,Maplewood,46138,1443,310121,7,Hispanic,No,Rent
979,Ashford,148558,1016,540087,6,Hispanic,No,Own
980,Ashford,205599,995,780859,3,Asian,No,Own
981,Rosedale,39190,4664,1023925,3,White,No,Own
982,Kingsley,122259,4073,807564,7,White,No,Own
983,Maplewood,108422,3494,1042095,2,Asian,No,Rent
984,Maplewood,216770,4012,816300,4,Black,No,Own
985,Kingsley,112315,3555,1366019,7,Asian,No,Rent
986,Ashford,59086,2321,243274,3,Asian,No,Own
987,Kingsley,178394,1880,594166,1,Hispanic,No,Own
988,Rosedale,155604,1521,486125,6,Asian,No,Own
989,Maplewood,130814,2362,619071,6,Black,No,Own
990,Huntington,149324,1439,322274,7,White,No,Rent
991,Kingsley,244641,4587,1298938,5,Other,Yes,Rent
992,Kingsley,246682,4536,923509,7,Asian,No,Rent
993,Rosedale,158921,889,355672,3,Asian,No,Own
994,Ashford,33435,3721,250468,2,Hispanic,No,Rent
995,Rosedale,131505,2051,554064,1,Hispanic,Yes,Own
996,Maplewood,83331,1902,838848,7,Asian,No,Own
997,Huntington,190014,1148,160530,2,Asian,No,Own
998,Maplewood,220707,4713,295346,7,Black,No,Own
999,Huntington,190131,4852,127122,3,White,Yes,Rent
1000,Rosedale,218629,3741,915813,1,White,No,Own
1001,Maplewood,143457,1045,1325083,5,Other,Yes,Own
1002,Ashford,82389,1071,778627,5,White,No,Own
1003,Huntington,83014,2830,613888,7,Other,No,Own
1004,Kingsley,193898,3987,1125047,5,Hispanic,No,Own
1005,Huntington,60297,4306,1341626,4,Other,Yes,Own
1006,Kingsley,73890,2265,762448,2,Other,No,Rent
1007,Kingsley,51322,1995,721642,3,White,Yes,Own
1008,Huntington,65739,3887,1136960,1,Asian,Yes,Rent
1009,Maplewood,170791,3808,1054093,7,Hispanic,No,Own
1010,Ashford,109553,4623,232508,7,Black,No,Own
1011,Maplewood,38314,2414,555070,6,Other,No,Own
1012,Huntington,123831,1926,1079392,6,Other,No,Rent
1013,Huntington,105164,1316,913713,2,Other,No,Own
1014,Maplewood,137658,3465,450161,3,Asian,Yes,Own
1015,Kingsley,107028,2101,184403,4,Black,No,Rent
1016,Huntington,66113,1411,285024,3,White,Yes,Own
1017,Maplewood,147174,1549,122766,2,Hispanic,No,Rent
1018,Ashford,176429,2656,514429,3,Asian,No,Own
1019,Huntington,50365,1199,948671,6,Black,Yes,Rent
1020,Maplewood,69029,2326,1302185,6,Hispanic,No,Own
1021,Kingsley,31737,2824,496010,1,White,Yes,Own
1022,Rosedale,161042,1119,1311972,4,Hispanic,Yes,Own
1023,Huntington,235704,1135,1205340,6,Other,Yes,Own
1024,Huntington,115474,2898,655146,1,Other,Yes,Rent
1025,Huntington,108218,973,1191426,4,Asian,No,Rent
1026,Ashford,188571,4819,1030522,6,Hispanic,No,Own
1027,Huntington,158692,2441,1493737,4,Other,No,Own
1028,Huntington,207229,1300,937222,3,Asian,No,Own
1029,Rosedale,217319,4446,443264,1,Asian,No,Own
1030,Huntington,158411,3163,896282,4,Asian,No,Own
1031,Maplewood,202106,2656,846597,7,White,No,Own
1032,Ashford,30294,3952,468903,4,Other,No,Own
1033,Maplewood,54596,2696,602704,3,Other,No,Own
1034,Maplewood,128185,2518,801335,6,Black,No,Own
1035,Maplewood,41434,2578,1345158,6,White,No,Own
1036,Kingsley,88382,3857,952128,7,Other,Yes,Own
1037,Rosedale,68098,3513,1376394,2,Other,No,Own
1038,Kingsley,34655,4628,712114,2,Black,No,Rent
1039,Maplewood,113029,1894,1304534,6,Hispanic,No,Own
1040,Rosedale,76228,845,853290,7,Hispanic,No,Own
1041,Ashford,33771,2245,763778,5,White,No,Rent
1042,Kingsley,104099,2996,631369,5,Asian,Yes,Own
1043,Rosedale,150811,4001,464860,7,Black,No,Own
1044,Kingsley,217871,1255,765474,4,Black,No,Own
1045,Huntington,92257,2462,873205,6,Other,No,Own
1046,Kingsley,47558,3724,1429442,2,Other,No,Own
1047,Maplewood,88436,1765,449652,4,Black,No,Own
1048,Maplewood,137779,2328,1146374,1,Asian,No,Rent
1049,Huntington,154891,3776,1166561,7,Hispanic,No,Own
1050,Maplewood,62376,3871,499104,7,White,No,Own
1051,Huntington,248530,3321,590899,2,Hispanic,No,Rent
1052,Ashford,107924,1926,339990,2,White,No,Own
1053,Huntington,59332,4204,970277,2,Asian,No,Own
1054,Kingsley,161001,3143,1009878,7,Black,Yes,Own
1055,Huntington,76737,906,206747,5,Asian,No,Own
1056,Rosedale,160912,3377,122036,3,Black,Yes,Rent
1057,Kingsley,119031,3954,356306,3,Other,No,Rent
1058,Rosedale,235042,4853,840781,7,White,Yes,Own
1059,Ashford,213024,1014,653634,5,Other,No,Rent
1060,Kingsley,50991,1264,475651,6,Black,No,Own
1061,Huntington,57472,3172,1001105,6,White,Yes,Own
1062,Huntington,89946,1391,388835,7,White,No,Own
1063,Kingsley,187921,2988,1428706,7,Other,No,Own
1064,Rosedale,31541,1683,796761,5,White,No,Own
1065,Rosedale,159237,4958,1222304,5,Black,Yes,Own
1066,Kingsley,32765,1103,598021,6,Black,No,Own
1067,Maplewood,73074,1133,1145618,3,Other,No,Rent
1068,Maplewood,132795,3633,1318135,4,Asian,No,Rent
1069,Rosedale,190355,3131,502628,5,Black,No,Own
1070,Rosedale,131387,879,705787,4,Black,No,Own
1071,Rosedale,161841,4563,985591,4,White,No,Own
1072,Maplewood,178878,3631,166553,1,White,No,Rent
1073,Maplewood,32972,2777,1093452,3,Black,Yes,Rent
1074,Maplewood,179328,1532,369856,7,Other,No,Own
1075,Huntington,133903,4776,377961,4,Asian,Yes,Own
1076,Rosedale,179725,2617,809192,7,White,No,Own
1077,Rosedale,133579,2184,455760,7,White,No,Own
1078,Kingsley,247741,2924,522342,3,Asian,No,Own
1079,Maplewood,69339,1998,704955,3,White,Yes,Own
1080,Huntington,186829,3092,814036,1,Other,No,Own
1081,Kingsley,133376,984,802175,7,White,No,Own
1082,Maplewood,72399,4927,858315,6,White,No,Own
1083,Rosedale,74013,1797,844271,3,Black,No,Rent
1084,Huntington,175778,2786,735318,4,Other,Yes,Own
1085,Huntington,199303,3609,741673,6,Other,No,Rent
1086,Ashford,57909,3157,263597,6,Black,No,Own
1087,Kingsley,237703,2479,129030,2,Hispanic,No,Own
1088,Maplewood,218644,3839,1192643,4,Asian,No,Own
1089,Huntington,246951,3311,608961,4,Other,No,Rent
1090,Maplewood,224839,4327,1022711,3,Hispanic,No,Own
1091,Huntington,187541,3826,962865,4,Asian,No,Own
1092,Kingsley,162385,3545,913071,7,Other,Yes,Own
1093,Kingsley,168919,4973,496008,2,White,No,Own
1094,Ashford,211294,3381,587976,3,Other,No,Own
1095,Maplewood,235774,3611,119198,5,Asian,No,Rent
1096,Maplewood,171002,4890,801565,4,Hispanic,No,Rent
1097,Maplewood,33285,1169,1231527,4,White,No,Rent
1098,Maplewood,153637,4543,170511,1,Asian,Yes,Rent
1099,Kingsley,65863,2804,1432051,5,Asian,No,Own
1100,Rosedale,177776,2503,379037,5,Other,No,Own
1101,Maplewood,179777,4124,295985,7,Black,Yes,Own
1102,Huntington,161627,1240,118243,2,Black,No,Own
1103,Huntington,51323,4057,780849,7,White,No,Rent
1104,Huntington,100968,3706,441358,5,Asian,No,Own
1105,Huntington,227994,1026,986801,7,Hispanic,Yes,Rent
1106,Maplewood,83915,3201,1364534,7,White,No,Rent
1107,Rosedale,139543,1824,1424066,1,White,No,Own
1108,Kingsley,171691,4291,803365,2,Other,Yes,Own
1109,Kingsley,233462,1670,326073,7,Hispanic,No,Own
1110,Maplewood,138500,3999,1144221,7,Asian,No,Own
1111,Huntington,220346,2545,746868,5,Asian,No,Own
1112,Maplewood,234245,1243,437468,2,Asian,No,Own
1113,Maplewood,182297,1272,787703,5,White,No,Own
1114,Ashford,141266,879,343470,5,Other,No,Rent
1115,Ashford,56739,1039,1223359,7,White,No,Own
1116,Ashford,208780,1389,539179,6,Black,No,Own
1117,Maplewood,158041,2160,791332,5,Black,No,Rent
1118,Huntington,83019,2684,379103,7,Asian,No,Own
1119,Rosedale,237226,3116,608102,4,Other,No,Own
1120,Maplewood,37373,1111,265205,5,Asian,Yes,Rent
1121,Huntington,196353,1876,320826,4,Asian,No,Rent
1122,Huntington,50187,833,1199726,3,White,No,Rent
1123,Huntington,97863,2641,383878,6,Asian,No,Own
1124,Huntington,127927,1048,251074,1,Asian,No,Own
1125,Kingsley,114085,1934,486582,2,Other,Yes,Own
1126,Ashford,147996,1175,722041,2,Other,No,Rent
1127,Maplewood,69220,1523,1373116,3,Other,Yes,Own
1128,Rosedale,160503,2713,614497,5,Asian,No,Own
1129,Rosedale,37642,3292,471007,1,Other,Yes,Rent
1130,Rosedale,109971,2742,786235,3,Other,Yes,Rent
1131,Kingsley,85556,4804,256118,3,Hispanic,No,Own
1132,Ashford,194832,3144,254736,2,Hispanic,No,Own
1133,Maplewood,68192,2131,517669,4,Black,No,Own
1134,Maplewood,165453,1137,629034,4,White,No,Rent
1135,Kingsley,180630,2665,1369157,5,White,No,Own
1136,Maplewood,60782,3937,748053,5,Other,No,Own
1137,Huntington,34782,1591,506433,7,Black,No,Own
1138,Ashford,215784,4411,425328,7,Black,No,Rent
1139,Ashford,180534,4500,188898,3,Hispanic,No,Own
1140,Ashford,90030,2316,928267,5,Black,No,Rent
1141,Huntington,229591,4753,895565,4,Asian,No,Own
1142,Rosedale,86411,4708,1022908,1,Other,No,Own
1143,Kingsley,216278,3473,264411,2,Asian,No,Rent
1144,Ashford,127469,2922,1439445,4,White,No,Own
1145,Rosedale,76950,4585,829692,7,Hispanic,No,Own
1146,Huntington,163595,858,1340521,6,Asian,No,Own
1147,Kingsley,221998,3233,317972,5,Other,No,Own
1148,Kingsley,170749,2862,227240,2,Asian,No,Rent
1149,Huntington,236900,2054,1320989,6,Asian,No,Rent
1150,Huntington,176161,4488,363380,2,Black,No,Own
1151,Kingsley,165653,4548,954348,3,Hispanic,Yes,Own
1152,Huntington,172979,4930,991913,5,White,No,Own
1153,Kingsley,166681,3829,228357,3,Other,No,Rent
1154,Kingsley,212225,3646,1425258,2,Other,No,Own
1155,Kingsley,80539,1270,601817,3,White,No,Rent
1156,Kingsley,205215,4835,724109,5,Other,No,Own
1157,Maplewood,52936,3699,832382,4,Black,No,Rent
1158,Huntington,80182,2246,484691,1,Asian,Yes,Rent
1159,Huntington,141259,1712,1004609,6,Black,No,Own
1160,Maplewood,125042,2511,1078793,4,Black,No,Rent
1161,Huntington,43163,1474,268482,2,Black,Yes,Own
1162,Maplewood,220830,2239,453126,4,White,No,Own
1163,Rosedale,207129,3534,544518,3,Hispanic,No,Own
1164,Kingsley,173609,4430,514919,5,White,No,Own
1165,Maplewood,52419,1485,930623,4,White,No,Own
1166,Huntington,203650,1926,349526,4,Black,No,Own
1167,Huntington,236063,3266,416256,5,Hispanic,No,Own
1168,Ashford,151211,3197,111399,3,White,Yes,Own
1169,Maplewood,152762,4937,990797,1,Hispanic,No,Own
1170,Rosedale,235671,4238,112685,4,Black,No,Own
1171,Kingsley,30834,4924,449921,6,White,No,Own
1172,Huntington,62214,1765,890919,2,Hispanic,No,Own
1173,Kingsley,32413,1719,1048329,7,Other,No,Rent
1174,Rosedale,39505,3672,763110,3,White,Yes,Own
1175,Kingsley,132802,2308,543445,3,White,No,Own
1176,Ashford,163177,2012,707508,4,White,No,Own
1177,Kingsley,229176,1671,1453838,6,Hispanic,No,Own
1178,Maplewood,158303,4054,1208191,7,Asian,No,Own
1179,Kingsley,144897,1663,1400985,5,White,No,Own
1180,Ashford,88408,4753,746157,7,Other,No,Own
1181,Huntington,198751,3908,1036417,4,Other,No,Own
1182,Rosedale,146908,3855,987996,4,Black,No,Own
1183,Kingsley,109731,4794,804875,5,Asian,No,Own
1184,Huntington,95131,3482,1195918,2,Asian,No,Own
1185,Maplewood,94280,1413,474160,5,Hispanic,No,Own
1186,Huntington,45762,2672,870893,4,Black,No,Own
1187,Kingsley,147798,3954,1331832,1,Hispanic,No,Own
1188,Maplewood,146854,4173,946938,5,Black,No,Own
1189,Rosedale,88703,3991,940720,2,Asian,No,Rent
1190,Kingsley,242506,1367,877156,5,Hispanic,No,Rent
1191,Maplewood,93079,4933,224939,5,Black,No,Own
1192,Ashford,51577,1044,388766,3,Asian,No,Own
1193,Rosedale,31214,820,935141,3,Asian,No,Own
1194,Kingsley,116339,1193,1044974,4,White,No,Own
1195,Maplewood,78114,4614,1310537,4,Hispanic,Yes,Own
1196,Huntington,93230,2855,1289872,7,White,No,Own
1197,Huntington,194052,4315,236537,5,Asian,No,Own
1198,Huntington,97194,3175,968850,1,Hispanic,No,Own
1199,Kingsley,238878,2710,197739,6,Hispanic,No,Own
1200,Maplewood,142333,1089,1373128,4,Other,No,Own
1201,Kingsley,67792,3358,326445,5,Black,No,Rent
1202,Maplewood,75807,1160,1172912,5,Other,No,Own
1203,Maplewood,155266,2422,1193340,6,Other,No,Own
1204,Rosedale,183373,4894,590548,5,Asian,No,Own
1205,Ashford,166213,3253,1193996,6,Black,No,Own
1206,Kingsley,134292,2815,582974,6,Other,No,Own
1207,Kingsley,152984,2840,1252957,7,Other,No,Own
1208,Rosedale,43777,2844,731884,5,Hispanic,No,Own
1209,Rosedale,68346,3600,912879,7,Asian,No,Rent
1210,Huntington,84703,3770,235105,5,Other,No,Own
1211,Rosedale,124977,1631,1073356,3,Black,No,Own
1212,Ashford,77819,2593,1169073,6,White,No,Rent
1213,Maplewood,189541,4492,1228290,2,White,No,Own
1214,Kingsley,164917,2591,1275468,6,Asian,No,Rent
1215,Kingsley,140186,3641,303154,2,White,Yes,Rent
1216,Maplewood,53290,2954,1038482,5,Hispanic,No,Own
1217,Maplewood,142551,1380,864227,4,Hispanic,No,Own
1218,Kingsley,191771,3653,243954,1,Black,No,Rent
1219,Kingsley,205324,3036,1104824,7,Asian,No,Rent
1220,Rosedale,128682,4976,1086354,5,Asian,No,Own
1221,Huntington,164365,2955,1398296,1,White,No,Own
1222,Maplewood,148017,2144,946302,3,Other,No,Own
1223,Rosedale,149496,1145,773955,2,Other,No,Rent
1224,Huntington,87089,2686,315363,7,Other,No,Own
1225,Rosedale,177680,1354,1246423,3,Black,Yes,Rent
1226,Kingsley,158713,4570,295110,4,Asian,Yes,Rent
1227,Rosedale,227345,999,1390879,4,White,No,Rent
1228,Rosedale,46619,3740,528665,6,Black,No,Own
1229,Huntington,108006,4290,511855,7,Hispanic,No,Own
1230,Rosedale,248980,1106,1062874,7,Hispanic,No,Own
1231,Huntington,242725,3875,829988,7,Hispanic,No,Own
1232,Maplewood,44779,2456,1220494,5,Asian,No,Own
1233,Maplewood,212112,3492,535926,6,Hispanic,Yes,Own
1234,Maplewood,217397,2564,285123,4,Other,No,Own
1235,Kingsley,51630,1075,291711,4,Hispanic,No,Own
1236,Rosedale,135575,4161,103159,6,Black,No,Rent
1237,Huntington,145436,2201,957624,3,Hispanic,No,Own
1238,Ashford,173250,2575,429132,1,Other,No,Own
1239,Huntington,181007,4181,1429426,2,Hispanic,No,Own
1240,Maplewood,208330,4850,896651,4,White,No,Rent
1241,Huntington,52784,4260,1499737,6,Other,No,Rent
1242,Kingsley,224794,2680,1445256,4,Asian,No,Own
1243,Kingsley,184099,4635,1482352,3,Hispanic,No,Own
1244,Huntington,218925,2644,858849,7,Black,No,Rent
1245,Kingsley,142167,4177,573212,7,Hispanic,No,Own
1246,Kingsley,97359,871,1444657,2,Black,No,Own
1247,Maplewood,233460,2476,1169670,7,White,No,Own
1248,Maplewood,108608,2095,225312,7,Asian,No,Own
1249,Huntington,237741,1843,204894,3,Other,No,Own
1250,Kingsley,45111,3425,741406,1,Other,No,Own
1251,Kingsley,193384,3842,783284,3,Asian,No,Own
1252,Ashford,54161,1614,969757,2,White,Yes,Own
1253,Maplewood,148920,2994,1070653,7,White,No,Own
1254,Maplewood,134823,4300,1482165,2,Hispanic,No,Own
1255,Kingsley,155014,1109,131854,4,White,No,Own
1256,Rosedale,160466,2861,160796,1,Hispanic,Yes,Own
1257,Maplewood,97313,2677,1480152,5,Black,No,Own
1258,Ashford,211446,3602,1338616,4,Asian,Yes,Own
1259,Maplewood,185086,3286,1125181,7,Black,No,Own
1260,Ashford,110308,4545,1221151,6,Black,No,Own
1261,Rosedale,76389,1594,210380,3,Black,No,Own
1262,Kingsley,179233,4814,386243,3,Black,No,Own
1263,Rosedale,137800,4207,562422,2,Other,No,Own
1264,Ashford,168562,3256,1257447,6,White,No,Own
1265,Maplewood,149547,2651,874079,2,Asian,No,Own
1266,Maplewood,54502,1774,1425749,6,Asian,No,Own
1267,Rosedale,65757,1847,115793,2,Black,No,Rent
1268,Ashford,71111,4589,1458826,5,Asian,No,Rent
1269,Kingsley,128273,3821,447806,5,Hispanic,No,Rent
1270,Rosedale,244317,4829,315836,4,Asian,No,Own
1271,Kingsley,88645,1264,577347,5,Black,Yes,Own
1272,Huntington,140218,1087,493576,6,Asian,No,Rent
1273,Kingsley,89055,3995,757992,2,White,No,Own
1274,Maplewood,149815,1675,180882,6,Black,No,Own
1275,Ashford,170070,2792,1000290,4,Other,Yes,Own
1276,Maplewood,189978,3725,249080,4,White,No,Rent
1277,Maplewood,131026,1920,701944,7,Asian,No,Own
1278,Huntington,100192,1246,523499,1,Other,Yes,Own
1279,Maplewood,211549,3632,763178,5,White,No,Own
1280,Ashford,197973,4368,1179155,3,Hispanic,No,Own
1281,Kingsley,82021,3696,296092,3,White,Yes,Rent
1282,Kingsley,59092,1521,737492,1,Other,No,Own
1283,Ashford,162314,2963,1426985,2,Hispanic,No,Own
1284,Maplewood,136843,3382,497534,1,Asian,Yes,Own
1285,Rosedale,162903,2151,1007043,2,Black,Yes,Rent
1286,Ashford,80721,4780,528297,5,Asian,No,Rent
1287,Maplewood,58511,4184,1338297,5,Black,No,Rent
1288,Rosedale,102782,2525,610332,4,Black,Yes,Rent
1289,Maplewood,127003,1493,606568,4,Other,No,Own
1290,Maplewood,179374,4213,309742,4,Hispanic,No,Rent
1291,Rosedale,85568,1294,998118,4,Hispanic,No,Own
1292,Maplewood,164304,1747,176377,3,White,No,Rent
1293,Ashford,132062,822,453815,7,Asian,No,Own
1294,Kingsley,134301,1928,243499,4,Other,No,Own
1295,Huntington,81507,1357,1379315,4,Asian,No,Own
1296,Maplewood,154277,2416,726551,4,White,No,Own
1297,Maplewood,159999,4530,1084789,2,White,Yes,Own
1298,Maplewood,237580,2456,745647,6,Other,Yes,Own
1299,Kingsley,130128,4973,435314,4,White,Yes,Own
1300,Kingsley,40683,1606,962582,1,Other,No,Rent
1301,Maplewood,53664,4112,1435586,4,White,Yes,Rent
1302,Huntington,132364,1253,896714,4,Hispanic,No,Rent
1303,Maplewood,194244,3775,251391,3,Other,No,Rent
1304,Ashford,244713,3124,1054230,6,Hispanic,Yes,Own
1305,Kingsley,94340,2247,748423,4,Hispanic,No,Own
1306,Huntington,117236,3361,220019,6,Other,Yes,Own
1307,Kingsley,41017,3311,1363225,2,Asian,Yes,Rent
1308,Huntington,66613,3671,1472642,5,Black,No,Rent
1309,Rosedale,247202,1162,1416905,6,White,No,Rent
1310,Huntington,237992,4254,448492,6,White,No,Rent
1311,Maplewood,60348,3598,191368,4,Asian,No,Own
1312,Huntington,177520,4253,287461,7,Black,No,Own
1313,Ashford,39491,4055,882190,4,Asian,No,Rent
1314,Huntington,239720,2017,1428143,4,Black,Yes,Own
1315,Ashford,151070,2285,1199844,3,Other,No,Own
1316,Kingsley,88759,2903,1261268,7,Other,Yes,Own
1317,Ashford,205625,3336,457345,5,Hispanic,No,Own
1318,Kingsley,162040,2655,568741,3,Hispanic,Yes,Rent
1319,Maplewood,30368,2007,218222,3,Other,No,Own
1320,Maplewood,235032,2248,975022,3,Hispanic,No,Own
1321,Maplewood,65010,2307,523693,7,Other,Yes,Own
1322,Maplewood,215226,1803,1271518,2,Asian,No,Own
1323,Huntington,65851,1725,643864,5,White,No,Rent
1324,Maplewood,152761,883,481785,2,Other,Yes,Own
1325,Huntington,186568,4542,555919,2,Other,No,Own
1326,Rosedale,157152,4727,781066,5,Other,Yes,Own
1327,Maplewood,192008,2342,310926,2,Hispanic,No,Rent
1328,Kingsley,108858,1785,317267,7,Hispanic,Yes,Own
1329,Kingsley,97005,1708,541652,5,Hispanic,No,Rent
1330,Ashford,67493,3708,248044,6,Hispanic,Yes,Own
1331,Ashford,230867,3537,245120,6,Asian,Yes,Own
1332,Kingsley,197462,3386,1247484,4,Other,No,Rent
1333,Maplewood,40292,1943,470868,3,Asian,No,Own
1334,Huntington,122377,2131,337741,6,Hispanic,No,Own
1335,Huntington,189437,4148,1228801,6,Asian,Yes,Own
1336,Kingsley,178279,2353,1492993,2,Other,No,Own
1337,Maplewood,131735,3142,1274746,5,Other,No,Own
1338,Kingsley,52912,2606,580570,1,Hispanic,No,Own
1339,Maplewood,110771,2900,985169,2,Other,Yes,Own
1340,Maplewood,217644,1605,982969,2,Asian,No,Own
1341,Rosedale,137293,4947,681890,7,Black,No,Rent
1342,Ashford,129083,3575,127182,5,Other,No,Own
1343,Huntington,143655,871,1094877,1,Asian,Yes,Own
1344,Kingsley,180348,827,1457779,1,Asian,No,Own
1345,Kingsley,127459,1268,502003,4,Asian,No,Own
1346,Rosedale,166606,4783,886825,2,Other,No,Own
1347,Rosedale,196742,1563,243128,7,Black,Yes,Rent
1348,Rosedale,223219,2224,554699,3,Hispanic,No,Rent
1349,Huntington,141695,3048,1126200,6,Hispanic,Yes,Own
1350,Maplewood,197558,4632,521645,2,Other,No,Own
1351,Huntington,226629,4860,415050,3,Other,No,Own
1352,Ashford,64268,4870,1115261,3,White,No,Rent
1353,Rosedale,137338,2475,1497010,5,Black,Yes,Own
1354,Kingsley,242407,1359,930821,2,Asian,No,Own
1355,Ashford,56336,4631,383049,5,Asian,No,Own
1356,Huntington,33641,2718,681845,4,Hispanic,No,Own
1357,Huntington,117132,878,861994,3,Other,No,Own
1358,Rosedale,62959,4447,857624,1,Black,Yes,Rent
1359,Rosedale,174378,1831,297271,3,Hispanic,No,Own
1360,Ashford,207254,2872,802661,4,Black,Yes,Own
1361,Huntington,104123,2284,709040,3,Other,No,Own
1362,Maplewood,217398,3045,891006,5,Asian,No,Own
1363,Kingsley,51498,2350,1499011,2,White,Yes,Own
1364,Kingsley,100198,2629,882262,1,Black,No,Rent
1365,Kingsley,57197,4551,1074280,5,Asian,No,Own
1366,Maplewood,181791,2831,1105716,6,Black,No,Own
1367,Kingsley,138775,4656,580313,2,Black,No,Rent
1368,Huntington,55032,2982,386881,1,Black,No,Own
1369,Maplewood,89624,2894,1240188,4,Other,No,Own
1370,Maplewood,108177,4703,171082,3,Hispanic,No,Own
1371,Huntington,71964,3832,514496,1,Black,No,Rent
1372,Maplewood,191100,2348,1378137,7,Other,No,Own
1373,Huntington,141030,1167,1431757,6,White,Yes,Own
1374,Ashford,84646,864,219229,4,Hispanic,Yes,Own
1375,Maplewood,111187,4099,330205,2,Other,No,Own
1376,Huntington,169608,2835,196342,7,White,No,Rent
1377,Rosedale,147399,3663,867224,1,Hispanic,No,Own
1378,Ashford,86747,2676,652375,4,Other,No,Rent
1379,Rosedale,75712,3028,1258420,2,White,No,Own
1380,Ashford,167345,1396,1129696,7,Other,No,Own
1381,Maplewood,101820,4406,428905,7,White,No,Rent
1382,Rosedale,155342,3474,752862,5,Black,No,Own
1383,Huntington,121228,4689,1090387,3,Black,No,Own
1384,Rosedale,104353,4306,1331533,4,Hispanic,No,Own
1385,Kingsley,122091,2634,1365988,7,White,Yes,Own
1386,Rosedale,115914,2195,136764,5,Black,Yes,Own
1387,Kingsley,211902,2386,293198,6,Hispanic,Yes,Rent
1388,Maplewood,136718,911,1387642,6,Asian,Yes,Rent
1389,Huntington,178199,1252,1346872,2,Black,Yes,Rent
1390,Ashford,244560,3603,409199,7,Black,No,Rent
1391,Maplewood,41539,3431,1462319,7,Other,No,Own
1392,Maplewood,207833,2986,1357688,1,Asian,No,Own
1393,Maplewood,76219,2804,926152,7,White,No,Own
1394,Ashford,175764,2259,193120,3,Hispanic,No,Rent
1395,Rosedale,244728,2742,1324132,2,Asian,Yes,Own
1396,Huntington,43334,4293,227976,4,White,No,Own
1397,Rosedale,189687,2657,1000499,7,Black,No,Own
1398,Maplewood,37903,861,637507,3,Hispanic,No,Own
1399,Kingsley,189599,2294,470652,7,Hispanic,No,Own
1400,Kingsley,176701,1980,411009,5,Asian,No,Own
1401,Maplewood,88008,3588,1203033,3,Other,No,Rent
1402,Maplewood,244348,2675,1238735,5,White,Yes,Own
1403,Maplewood,129318,3008,1054321,2,Asian,No,Rent
1404,Kingsley,187780,905,1348641,7,Other,Yes,Own
1405,Kingsley,171932,1954,193391,1,Other,No,Rent
1406,Ashford,178510,4228,1069884,6,Other,No,Own
1407,Huntington,97300,4887,412544,3,Hispanic,No,Rent
1408,Huntington,159263,2508,398402,1,White,No,Own
1409,Ashford,232617,3623,836366,1,White,Yes,Own
1410,Huntington,50842,4725,1328605,6,Asian,No,Rent
1411,Maplewood,221285,2708,997898,3,Black,Yes,Own
1412,Maplewood,72372,2849,773641,7,Asian,No,Own
1413,Rosedale,144316,2074,1325328,3,White,No,Own
1414,Maplewood,128971,1745,765522,1,Hispanic,No,Own
1415,Ashford,229978,4704,1374456,4,Asian,Yes,Own
1416,Huntington,68744,3027,1118528,4,Black,No,Own
1417,Maplewood,146082,4596,471021,3,Asian,No,Own
1418,Maplewood,87442,1092,1422058,1,Other,No,Own
1419,Ashford,159070,3022,843192,1,Black,No,Rent
1420,Huntington,115990,4773,1160251,2,Other,No,Own
1421,Rosedale,151670,3291,189606,1,Hispanic,Yes,Own
1422,Ashford,136917,3275,382224,6,White,No,Own
1423,Maplewood,33650,4529,343747,4,Asian,No,Own
1424,Maplewood,75117,1227,348585,2,Asian,No,Own
1425,Huntington,121244,3772,1424656,7,Other,No,Own
1426,Huntington,213844,906,1158595,6,Other,No,Rent
1427,Maplewood,33190,4419,560498,7,White,No,Rent
1428,Huntington,78113,4133,450448,4,Asian,Yes,Own
1429,Kingsley,169861,4792,829221,6,White,No,Own
1430,Huntington,62125,2025,1153062,5,Other,No,Own
1431,Ashford,160000,4804,444165,3,Other,Yes,Rent
1432,Ashford,178531,4168,835224,5,Black,Yes,Rent
1433,Ashford,196490,1695,774472,3,Other,No,Own
1434,Kingsley,141904,4705,675985,4,Other,No,Own
1435,Maplewood,208157,2420,1204574,4,White,Yes,Own
